Date,WOW.AX,QBE.AX,COH.AX,ORG.AX,TWE.AX,BHP.AX,CBA.AX,TLS.AX,GMG.AX,ALL.AX
2012-06-01 00:00:00+10:00,18.691425323486328,8.905570983886719,50.060813903808594,7.998968124389648,3.3233742713928223,16.098669052124023,29.2722225189209,2.4078962802886963,2.45444917678833,2.3699419498443604
2012-06-04 00:00:00+10:00,18.62123680114746,8.68185043334961,48.88874435424805,8.005189895629883,3.292743444442749,15.601449012756348,28.895200729370117,2.421126127243042,2.338261604309082,2.2456443309783936
2012-06-05 00:00:00+10:00,18.473840713500977,8.833404541015625,50.045082092285156,7.974088668823242,3.292743444442749,15.809473037719727,29.45484733581543,2.4145114421844482,2.425400972366333,2.3202226161956787
2012-06-06 00:00:00+10:00,18.494897842407227,8.891136169433594,51.051963806152344,7.9118876457214355,3.3463456630706787,15.779029846191406,29.484304428100586,2.4145114421844482,2.483494997024536,2.3367958068847656
2012-06-07 00:00:00+10:00,18.719505310058594,8.999390602111816,52.27123260498047,7.980309963226318,3.4076061248779297,16.022567749023438,30.067516326904297,2.421126127243042,2.483494997024536,2.3533694744110107
2012-06-08 00:00:00+10:00,18.607196807861328,8.948871612548828,51.25648498535156,7.880789279937744,3.33103084564209,16.189992904663086,29.73172950744629,2.4078962802886963,2.4907567501068115,2.3782286643981934
2012-06-12 00:00:00+10:00,18.670368194580078,9.013824462890625,50.84743118286133,7.9865288734436035,3.308058261871338,16.093595504760742,29.93791389465332,2.381434917449951,2.439924716949463,2.403087615966797
2012-06-13 00:00:00+10:00,18.61421775817871,8.948871612548828,50.422672271728516,8.023850440979004,3.3233742713928223,16.195072174072266,29.820091247558594,2.3880510330200195,2.425400972366333,2.4528071880340576
2012-06-14 00:00:00+10:00,18.522974014282227,8.927224159240723,49.48657989501953,7.930549144744873,3.300401210784912,16.134183883666992,29.790632247924805,2.381434917449951,2.4326634407043457,2.411374568939209
2012-06-15 00:00:00+10:00,18.593158721923828,9.223113059997559,49.31351852416992,7.9118876457214355,3.269771099090576,16.154481887817383,29.979145050048828,2.3946657180786133,2.5125420093536377,2.394801378250122
2012-06-18 00:00:00+10:00,18.677387237548828,9.439617156982422,50.17880630493164,8.04250717163086,3.3233742713928223,16.56037139892578,30.362051010131836,2.4145114421844482,2.5924205780029297,2.4693801403045654
2012-06-19 00:00:00+10:00,18.670368194580078,9.410750389099121,51.46100997924805,7.942990303039551,3.3540031909942627,16.48426628112793,30.39151382446289,2.4078962802886963,2.5851588249206543,2.411374568939209
2012-06-20 00:00:00+10:00,18.48787498474121,9.25197982788086,50.87103271484375,8.11092758178711,3.300401210784912,16.54007911682129,30.686058044433594,2.3748202323913574,2.5851588249206543,2.386514663696289
2012-06-21 00:00:00+10:00,18.494897842407227,9.28084659576416,50.422672271728516,7.992751121520996,3.292743444442749,16.33713150024414,30.503437042236328,2.381434917449951,2.6505138874053955,2.3616557121276855
2012-06-22 00:00:00+10:00,18.515949249267578,9.158161163330078,50.123748779296875,7.92432975769043,3.3233742713928223,15.99212646484375,30.45041847229004,2.381434917449951,2.577897071838379,2.295362710952759
2012-06-25 00:00:00+10:00,18.529991149902344,9.158161163330078,50.32040786743164,7.868348121643066,3.338688611984253,15.76380729675293,30.367948532104492,2.3748202323913574,2.667304277420044,2.204211950302124
2012-06-26 00:00:00+10:00,18.61421775817871,9.150944709777832,49.85629653930664,7.812368392944336,3.3233742713928223,15.540568351745605,30.45631217956543,2.3946657180786133,2.6896557807922363,2.212498188018799
2012-06-27 00:00:00+10:00,18.775651931762695,9.266412734985352,50.39906311035156,7.843469619750977,3.3616600036621094,15.525349617004395,30.721405029296875,2.427741527557373,2.741809368133545,2.2539308071136475
2012-06-28 00:00:00+10:00,18.838821411132812,9.497352600097656,50.721580505371094,7.588446617126465,3.3616600036621094,15.59130573272705,30.998281478881836,2.421126127243042,2.741809368133545,2.278790235519409
2012-06-29 00:00:00+10:00,18.810747146606445,9.656122207641602,51.79138946533203,7.588446617126465,3.33103084564209,15.956605911254883,31.281049728393555,2.440971612930298,2.7343595027923584,2.287076234817505
2012-07-02 00:00:00+10:00,18.852861404418945,9.620038032531738,51.47673034667969,7.681746482849121,3.308058261871338,16.093595504760742,31.53435707092285,2.4674320220947266,2.8088643550872803,2.0301949977874756
2012-07-03 00:00:00+10:00,18.747575759887695,9.728290557861328,51.130619049072266,7.669308185577393,3.369319200515747,16.134183883666992,31.410655975341797,2.4674320220947266,2.7641615867614746,2.10477352142334
2012-07-04 00:00:00+10:00,18.986221313476562,9.735508918762207,51.17781448364258,7.930549144744873,3.392291784286499,16.474117279052734,31.569700241088867,2.4608168601989746,2.8461172580718994,2.1544923782348633
2012-07-05 00:00:00+10:00,18.880931854248047,9.627254486083984,51.90938186645508,7.862127780914307,3.338688611984253,16.448749542236328,31.699316024780273,2.4674320220947266,2.7939629554748535,2.19592547416687
2012-07-06 00:00:00+10:00,18.93007469177246,9.728290557861328,51.012630462646484,7.7874884605407715,3.338688611984253,16.281322479248047,31.8642520904541,2.4740471839904785,2.7939629554748535,2.1710658073425293
2012-07-09 00:00:00+10:00,18.93007469177246,9.670555114746094,51.06769561767578,7.70662784576416,3.3463456630706787,15.971827507019043,31.681638717651367,2.500507354736328,2.8014142513275146,2.1627790927886963
2012-07-10 00:00:00+10:00,18.909011840820312,9.569520950317383,50.91823196411133,7.607108116149902,3.3616600036621094,15.83991527557373,31.48134422302246,2.520352602005005,2.823765754699707,2.1379196643829346
